Data,# Samples,# Dimensions,Outlier Perc,ABOD,CBLOF,HBOS,IForest,KNN,LODA,LOF,OCSVM,PCA,COD,BAZUOD
arrhythmia,452,274,14.6018,0.35854,0.39895,0.49276,0.50515,0.39675,0.4525099999999999,0.37421,0.40449999999999997,0.40210999999999986,0.4897,0.4944699999999999
breastw,683,9,34.9927,0.29457,0.9141299999999999,0.9529700000000002,0.9696200000000001,0.9269499999999999,0.9736199999999998,0.32157,0.9342999999999998,0.9603299999999999,0.9876699999999999,0.9876699999999999
cardio,1831,21,9.6122,0.19361999999999996,0.41362,0.46020000000000005,0.5637800000000001,0.34511000000000003,0.47726999999999997,0.16258,0.53241,0.61139,0.5902,0.58272
ionosphere,351,33,35.8974,0.91407,0.8712100000000002,0.36635000000000006,0.79588,0.9238200000000001,0.7164499999999999,0.82107,0.8229400000000002,0.7362,0.68082,0.6710499999999999
lympho,148,18,4.0541,0.5168200000000001,0.8078200000000002,0.9251699999999999,0.9521499999999999,0.81996,0.31038,0.8252499999999999,0.81443,0.8522000000000001,0.9052900000000002,0.91029
mammography,10000,6,2.3,0.02365,0.14328000000000002,0.13405,0.21039000000000002,0.18304,0.20046,0.12928,0.18994,0.20162,0.43765,0.42117000000000004
optdigits,5216,64,2.8758,0.02788,0.062430000000000006,0.19566,0.05222,0.022299999999999997,0.026390000000000004,0.02877,0.027489999999999997,0.027849999999999996,0.04395999999999999,0.04465
pima,768,8,34.8958,0.51071,0.47714999999999996,0.5693,0.5047299999999999,0.5145000000000001,0.40022,0.42991,0.46075,0.47751,0.5222399999999999,0.5062099999999999
satellite,6435,36,31.6395,0.39725,0.6897,0.6866199999999999,0.6503599999999999,0.5430999999999998,0.61216,0.38976,0.65292,0.60301,0.5697099999999999,0.58998
satimage-2,5803,36,1.2235,0.18736999999999998,0.97773,0.7580199999999999,0.9263200000000001,0.41864,0.8782099999999999,0.02667,0.9745699999999999,0.8737300000000001,0.78243,0.8006800000000001
speech,3686,400,1.6549,0.03945,0.02158,0.027170000000000007,0.020220000000000002,0.02158,0.01742,0.02433,0.021419999999999995,0.021520000000000004,0.02198,0.02248
wbc,378,30,5.5556,0.3545,0.49946,0.6626799999999999,0.5894600000000001,0.52937,0.6088399999999999,0.558,0.5137400000000001,0.5337299999999999,0.6952900000000001,0.6934600000000001
wine,129,13,7.7519,0.08379,0.05984000000000002,0.40499999999999997,0.27013000000000004,0.09455000000000001,0.22852999999999998,0.36113999999999996,0.14143,0.25377,0.4324,0.41771
